drain TotalCurrent(IdVg_VdLin_n5_des) X,drain TotalCurrent(IdVg_VdLin_n5_des) Y,drain TotalCurrent(IdVg_VdLin_n17_des) X,drain TotalCurrent(IdVg_VdLin_n17_des) Y,drain TotalCurrent(IdVg_VdLin_n21_des) X,drain TotalCurrent(IdVg_VdLin_n21_des) Y,drain TotalCurrent(IdVg_VdLin_n25_des) X,drain TotalCurrent(IdVg_VdLin_n25_des) Y,drain TotalCurrent(IdVg_VdLin_n29_des) X,drain TotalCurrent(IdVg_VdLin_n29_des) Y,drain TotalCurrent(IdVg_VdLin_n35_des) X,drain TotalCurrent(IdVg_VdLin_n35_des) Y,drain TotalCurrent(IdVg_VdLin_n36_des) X,drain TotalCurrent(IdVg_VdLin_n36_des) Y,drain TotalCurrent(IdVg_VdLin_n37_des) X,drain TotalCurrent(IdVg_VdLin_n37_des) Y,drain TotalCurrent(IdVg_VdLin_n38_des) X,drain TotalCurrent(IdVg_VdLin_n38_des) Y,drain TotalCurrent(IdVg_VdLin_n39_des) X,drain TotalCurrent(IdVg_VdLin_n39_des) Y,drain TotalCurrent(IdVg_VdLin_n76_des) X,drain TotalCurrent(IdVg_VdLin_n76_des) Y,drain TotalCurrent(IdVg_VdLin_n77_des) X,drain TotalCurrent(IdVg_VdLin_n77_des) Y,drain TotalCurrent(IdVg_VdLin_n78_des) X,drain TotalCurrent(IdVg_VdLin_n78_des) Y,drain TotalCurrent(IdVg_VdLin_n79_des) X,drain TotalCurrent(IdVg_VdLin_n79_des) Y,drain TotalCurrent(IdVg_VdLin_n80_des) X,drain TotalCurrent(IdVg_VdLin_n80_des) Y,drain TotalCurrent(IdVg_VdLin_n83_des) X,drain TotalCurrent(IdVg_VdLin_n83_des) Y,drain TotalCurrent(IdVg_VdLin_n84_des) X,drain TotalCurrent(IdVg_VdLin_n84_des) Y,drain TotalCurrent(IdVg_VdLin_n85_des) X,drain TotalCurrent(IdVg_VdLin_n85_des) Y,drain TotalCurrent(IdVg_VdLin_n86_des) X,drain TotalCurrent(IdVg_VdLin_n86_des) Y,drain TotalCurrent(IdVg_VdLin_n87_des) X,drain TotalCurrent(IdVg_VdLin_n87_des) Y
-0.8,1.2315894e-13,-1.2,2.9413119e-14,-1.6,1.6253331e-14,-2,1.3652022e-14,-2.4,1.1681292e-14,-0.8,1.2334444e-13,-1.2,2.9592927e-14,-1.6,1.5630088e-14,-2,1.3415627e-14,-2.4,1.1910157e-14,-0.8,1.2669395e-13,-1.2,1.4864566e-14,-1.6,7.4825417e-15,-2,8.1559728e-15,-2.4,7.2416402e-15,-0.8,1.2769924e-13,-1.2,1.422787e-14,-1.6,8.7742569e-15,-2,7.7513503e-15,-2.4,5.211295e-15
-0.78,1.3862193e-13,-1.17,3.0605401e-14,-1.56,1.6540665e-14,-1.95,1.2797141e-14,-2.34,1.1715038e-14,-0.78,1.3818632e-13,-1.17,3.051762e-14,-1.56,1.6531785e-14,-1.95,1.2768546e-14,-2.34,1.2330774e-14,-0.78,1.3552242e-13,-1.17,1.4910677e-14,-1.56,9.1208995e-15,-1.95,8.1556714e-15,-2.34,5.6213958e-15,-0.78,1.3819554e-13,-1.17,1.4379409e-14,-1.56,8.4064126e-15,-1.95,7.769424e-15,-2.34,5.9402408e-15
-0.76,1.5235506e-13,-1.14,3.3148428e-14,-1.52,1.7946787e-14,-1.9,1.283963e-14,-2.28,1.2197879e-14,-0.76,1.5280811e-13,-1.14,3.1950813e-14,-1.52,1.7122755e-14,-1.9,1.3710545e-14,-2.28,1.3058051e-14,-0.76,1.4918563e-13,-1.14,1.6249084e-14,-1.52,9.1271618e-15,-1.9,8.9488172e-15,-2.28,7.2524831e-15,-0.76,1.4888426e-13,-1.14,1.4453487e-14,-1.52,9.6763502e-15,-1.9,6.8630481e-15,-2.28,4.687802e-15
-0.74,1.6376426e-13,-1.11,3.4098975e-14,-1.48,1.7340768e-14,-1.85,1.3749032e-14,-2.22,1.2206494e-14,-0.74,1.6399216e-13,-1.11,3.382305e-14,-1.48,1.7938447e-14,-1.85,1.4152916e-14,-2.22,1.1941483e-14,-0.74,1.6530455e-13,-1.11,1.6281734e-14,-1.48,9.1564999e-15,-1.85,6.9452954e-15,-2.22,7.2620198e-15,-0.74,1.6299248e-13,-1.11,1.5385439e-14,-1.48,8.8062946e-15,-1.85,6.0269804e-15,-2.22,6.4385635e-15
-0.72,1.738221e-13,-1.08,3.6244892e-14,-1.44,1.8431291e-14,-1.8,1.3809007e-14,-2.16,1.3569992e-14,-0.72,1.7295163e-13,-1.08,3.5764896e-14,-1.44,1.8281337e-14,-1.8,1.4209924e-14,-2.16,1.2394507e-14,-0.72,1.8185878e-13,-1.08,1.7260704e-14,-1.44,9.1641046e-15,-1.8,7.3343787e-15,-2.16,7.2676249e-15,-0.72,1.8396616e-13,-1.08,1.6325127e-14,-1.44,8.9254988e-15,-1.8,6.8730098e-15,-2.16,6.4559799e-15
-0.7,1.8230032e-13,-1.05,3.6479569e-14,-1.4,1.8780927e-14,-1.75,1.3865112e-14,-2.1,1.3149736e-14,-0.7,1.8315038e-13,-1.05,3.7155054e-14,-1.4,1.8265895e-14,-1.75,1.3634344e-14,-2.1,1.2258999e-14,-0.7,2.0287856e-13,-1.05,1.6174696e-14,-1.4,7.5557786e-15,-1.75,8.1863519e-15,-2.1,7.2591835e-15,-0.7,2.0428494e-13,-1.05,1.6445275e-14,-1.4,8.5358213e-15,-1.75,6.9693111e-15,-2.1,7.2943767e-15
-0.68,1.9338045e-13,-1.02,3.7712558e-14,-1.36,2.0372131e-14,-1.7,1.5295974e-14,-2.04,1.2738036e-14,-0.68,1.92518e-13,-1.02,3.7943226e-14,-1.36,2.0708151e-14,-1.7,1.4385749e-14,-2.04,1.2711895e-14,-0.68,2.265791e-13,-1.02,1.8393732e-14,-1.36,9.2313589e-15,-1.7,8.1926421e-15,-2.04,7.270667e-15,-0.68,2.2538182e-13,-1.02,1.9988959e-14,-1.36,9.3678944e-15,-1.7,6.5372248e-15,-2.04,7.7278907e-15
-0.66,2.0847332e-13,-0.99,3.8338553e-14,-1.32,2.1023079e-14,-1.65,1.492643e-14,-1.98,1.3213185e-14,-0.66,2.087908e-13,-0.99,3.8515081e-14,-1.32,2.1356576e-14,-1.65,1.4009796e-14,-1.98,1.3153149e-14,-0.66,2.4751596e-13,-0.99,2.029306e-14,-1.32,9.2409237e-15,-1.65,8.9960658e-15,-1.98,8.1355142e-15,-0.66,2.4666603e-13,-0.99,2.0568378e-14,-1.32,9.8006502e-15,-1.65,6.619664e-15,-1.98,7.7325635e-15
-0.64,2.2895799e-13,-0.96,3.8900086e-14,-1.28,2.2197618e-14,-1.6,1.6137767e-14,-1.92,1.3217663e-14,-0.64,2.2950793e-13,-0.96,3.9685346e-14,-1.28,2.1409738e-14,-1.6,1.5878695e-14,-1.92,1.298215e-14,-0.64,2.7408563e-13,-0.96,2.1388373e-14,-1.28,1.0108785e-14,-1.6,7.3416428e-15,-1.92,8.9191644e-15,-0.64,2.7285237e-13,-0.96,2.2518713e-14,-1.28,8.9536014e-15,-1.6,6.6040386e-15,-1.92,6.4757945e-15
-0.62,2.5904918e-13,-0.93,3.7925626e-14,-1.24,2.4072167e-14,-1.55,1.6244475e-14,-1.86,1.2866294e-14,-0.62,2.6066312e-13,-0.93,3.904313e-14,-1.24,2.3736401e-14,-1.55,1.6011856e-14,-1.86,1.4624887e-14,-0.62,3.0398527e-13,-0.93,2.5128853e-14,-1.24,1.0207465e-14,-1.55,6.6196283e-15,-1.86,8.1361994e-15,-0.62,3.0319112e-13,-0.93,2.3604548e-14,-1.24,9.8655231e-15,-1.55,7.0327013e-15,-1.86,7.7496918e-15
